"Charity Number","Charity Subsidiary Number","Charity Name","Charity Address","Charity Postcode","Charity Constituency","Phone","Email","Website","Last Recorded Financial Year","Last Recorded Income","Last Recorded Expenditure","Charity Status","Charity Type","How the charity helps","What the charity does","Who the charity helps","Activities","Charity Objects"
"1023730","0","DISABLEMENT ASSOCIATION OF BARKING AND DAGENHAM","D A B D UK, Pembroke Gardens, DAGENHAM","RM10 7YP","Dagenham and Rainham","02085928603","centraloffice@dabd.org.uk","www.dabd.org.uk","31/03/2020","2979449.0","2966056.0","Registered","Charitable company","Provides Services, Provides Advocacy/advice/information, Acts As An Umbrella Or Resource Body, Other Charitable Activities","Education/training, Disability, The Prevention Or Relief Of Poverty, Economic/community Development/employment, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, Other Defined Groups","Independent living support, accessible transport services, supported employment training, training and personal development, personalcare support, community development, disabled & inclusive children's services, NVQ centre, welfare benefit/rights support, advocacy, integrated provision for deaf people (adults & young people), equipment service, dial-a-wheelchair, volunteering (all abilities).","THE RELIEF OF INDIVIDUALS (PRIMARILY THOSE WITH IMPAIRMENT) LIVING IN THE UK IN PARTICULAR BY THE PROVISION OF ANY FACILITIES TO ENABLE THEM TO ACHIEVE GREATER ECONOMIC, SOCIAL, EDUCATIONAL AND PHYSICAL MOBILITY.
PROVISION OF SECOND TIER SUPPORT TO ORGANISATIONS WHICH HAVE SIMILAR AIMS TO OUR OWN."
"1085044","0","INTERNATIONAL GOSPEL AND HEALTH GROUP","16 PICKERING ROAD, BARKING","IG11 8PG","Barking","","","","31/03/2013","19215.0","18450.0","Registered","Other","Provides Human Resources, Provides Services, Provides Advocacy/advice/information, Other Charitable Activities","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Accommodation/housing, Religious Activities, Arts/culture/heritage/science, Amateur Sport, Economic/community Development/employment, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, The General Public/mankind","To relieve poverty, sickness and distress by the provision of free and confidential advice, assistance, representation, counselling, translating and interpreting services on general issues affecting our membership, including housing, health, social services, debts, welfare benefits, education, training and employment, and for the advancement of the Christian faith.","(A) THE ADVANCEMENT OF THE CHRISTIAN FAITH; (B) TO RELIEVE POVERTY, SICKNESS AND DISTRESS PARTICULARLY BUT NOT EXCLUSIVELY BY THE PROVISION OF FREE AND CONFIDENTIAL ADVICE, ASSISTANCE, REPRESENTATION, COUNSELLING, TRANSLATING AND INTERPRETING SERVICES IN MATTERS SUCH AS IMMIGRATION, DEBTS, WELFARE BENEFITS, HEALTH, HOUSING, SOCIAL SECURITY, EDUCATION, TRAINING AND EMPLOYMENT; (C) THE ADVANCEMENT OF EDUCATION; (D) THE PROVISION OR ASSISTANCE IN THE PROVISION OF FACILITIES FOR RECREATION OR OTHER LEISURE TIME OCCUPATION IN THE INTEREST OF SOCIAL WELFARE WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE OF THOSE PERSONS FOR WHOM THE FACILITIES ARE PROVIDED."
"1066749","0","FIRST FRUIT","34 Norwich Road, London","E7 9JH","West Ham","02085191454","info@firstfruit.org.uk","www.firstfruit.org.uk","31/03/2020","904790.0","823942.0","Registered","Charitable company","Makes Grants To Organisations, Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information","Education/training, The Prevention Or Relief Of Poverty, Accommodation/housing, Religious Activities, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Defined Groups, The General Public/mankind","To provide the advancement education and relief of poverty of people in needy circumstances involving the provision of assistance and training for the development of skills in coping with life and employment. To promote the advancement of the Christian Faith.","(A) THE ADVANCEMENT OF THE CHRISTIAN FAITH AND IN PARTICULAR:- (1) THE TEACHING AND PRACTICE OF AND TRAINING IN EVANGELISM (2) THE HARVESTING OF THE POTENTIAL SKILLS OF PEOPLE FOR SERVICE TO OTHERS ACCORDING TO BIBLICAL PRINCIPLES IN EACH CASE IN DEMONSTRATION OF THE CHURCH'S MISSION IN THE WORLD AND ENCOURAGING THE CHURCHES TO WORK TOGETHER TO THESE ENDS (B) THE ADVANCEMENT OF EDUCATION AND IN PARTICULAR BUT NOT EXCLUSIVELY TRAINING OF PEOPLE IN NEEDY CIRCUMSTANCES IN EMPLOYMENT AND BUSINESS SKILLS (C) THE RELIEF OF POVERTY IN PARTICULAR BUT NOT EXCLUSIVELY ASSISTANCE TO AND TRAINING OF PEOPLE IN NEEDY CIRCUMSTANCES WITH A VIEW  TO THEIR DEVELOPING  SKILLS FOR COPING WITH LIFE AND EMPLOYMENT."
"1103710","0","LIVING STONE CHURCH","5 Cooper Street, Canning Town, London","E16 1QU","West Ham","07946292386","livingstn@yahoo.com","","30/01/2011","800.0","800.0","Registered","Other","Makes Grants To Organisations, Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty, Accommodation/housing, Religious Activities, Arts/culture/heritage/science, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, The General Public/mankind","General Charitable PurposesEducation/TrainingRelief of PovertyReligious activitiesArts/cultureEconomic/Community development/Employment","TO ADVANCE THE CHRISTIAN FAITH IN SUCH WAYS AS THE TRUSTEES THINK FIT IN ACCORDANCE WITH THE STATEMENT OF FAITH"
"1157376","0","INCLUSION LONDON","336 BRIXTON RD, LONDON, LONDON, PLEASE SELECT","SW9 7AA","Vauxhall","02072373181","info@inclusionlondon.org.uk","www.inclusionlondon.org.uk","31/03/2020","973916.0","891809.0","Registered","Charitable company","Provides Services, Provides Advocacy/advice/information, Acts As An Umbrella Or Resource Body","Education/training, Disability, The Prevention Or Relief Of Poverty, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity, Other Charitable Purposes","People With Disabilities, Other Charities Or Voluntary Bodies","Our current key activities include:
* Running regular forums/ events for DDPOs 
* Running bespoke capacity building training for DDPOs. 
* Providing '1-2-1' business and financial advice to DDPOs
* Supporting partnership working and consortia working amongst DDPOs . 
* Carrying out campaign work on issues affecting Deaf and Disabled Londoners.","THE CHARITY'S OBJECTS ('OBJECTS') ARE SPECIFICALLY RESTRICTED TO THE FOLLOWING:

1) THE PROMOTION OF EQUALITY AND DIVERSITY FOR THE PUBLIC BENEFIT IN PARTICULAR THE EQUALITY AND INCLUSION OF DEAF AND DISABLED PEOPLE BY:

A) THE ELIMINATION OF DISCRIMINATION EXPERIENCED ON THE GROUNDS OF DISABILITY OR DEAFNESS;
B) ADVANCING EDUCATION AND RAISING AWARENESS IN EQUALITY AND DIVERSITY;
C) CONDUCTING AND COMMISSIONING RESEARCH ON EQUALITY AND INCLUSION OF DEAF AND DISABLED PEOPLE.

2) TO RELIEVE THE NEEDS OF DEAF AND DISABLED PEOPLE PRIMARILY LIVING IN LONDON BY THE PROVISION OF TRAINING, ADVICE AND SUPPORT TO USER-LED AND DISABILITY SECTOR DEAF AND DISABLED PEOPLE’S CHARITIES, NOT FOR PROFIT ORGANISATIONS AND VOLUNTARY ORGANISATIONS THAT WORK TO RELIEVE THE NEEDS OF DEAF AND DISABLED PEOPLE TO ENABLE THEM TO DELIVER SERVICES MORE EFFICIENTLY AND EFFECTIVELY.

FOR THE PURPOSE OF THIS CLAUSE, CHARITIES ARE ORGANISATIONS WHICH ARE ESTABLISHED FOR EXCLUSIVELY CHARITABLE PURPOSES IN ACCORDANCE WITH THE LAWS OF ENGLAND AND WALES. VOLUNTARY AND NOT FOR PROFIT ORGANISATIONS ARE INDEPENDENT ORGANISATIONS WHICH ARE ESTABLISHED FOR PURPOSES THAT ADD VALUE TO THE COMMUNITY AS A WHOLE, OR A SIGNIFICANT SECTION OF THE COMMUNITY AND WHICH ARE NOT PERMITTED BY THEIR CONSTITUTION TO MAKE A PROFIT FOR PRIVATE DISTRIBUTION. VOLUNTARY ORGANISATIONS DO NOT INCLUDE LOCAL GOVERNMENT OR OTHER STATUTORY AUTHORITIES."
"235829","0","TAKE HEART LTD","35 Queensborough Terrace, LONDON","W2 3SY","Westminster North","07782192124","","www.takeheartindia.org","31/05/2020","1040.0","2976.0","Registered","Charitable company","Makes Grants To Organisations, Provides Buildings/facilities/open Space","Disability, Overseas Aid/famine Relief, Economic/community Development/employment","People With Disabilities, Other Charities Or Voluntary Bodies","WE RAISE MONEY FOR OUR PARTNER INDIA CENTRES (WWW.ANANDWAN.IN). WE HAVE BUILT AN IT AND ENGLISH LANGUAGE SCHOOL IN RURAL INDIA. THE SCHOOL TRAINS BLIND, DEAF, DUMB AS WELL AS ABLE BODIED STUDENTS IN IT SKILLS. WE HAVE RECENTLY BUILT A HOSTEL THAT ALLOWS DISABLED AND BLIND PEOPLE FROM ALL OVER INDIA LIVE IN OUR CENTRES WHILE THEY STUDY IN THE SCHOOL.","TO ASSIST AND RELIEVE THROUGHOUT THE WORLD, THOSE PERSONS WHO ARE DISABLED OR HANDICAPPED TEMPORARILY OR PERMANENTLY BY REASON OF DISEASE, INJURY OR DEFORMITY."
"1110023","0","CONGOLESE AND CENTRAL AFRICA COMMUNITY","22 MACHIN ROAD, BRISTOL","BS10 7HQ","Bristol North West","07540953206","congoleseafrican@yahoo.co.uk","","01/05/2018","832.0","830.0","Registered","Other","Provides Human Resources, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research, Other Charitable Activities","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Arts/culture/heritage/science, Amateur Sport, Environment/conservation/heritage, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity, Recreation, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies","The Relief of Persons who are in conditions of poverty sickness and distress by providing such persons with advice,counselling,representation,translation and interpreting and other assistance:Immigration housing health education training and employmentThe preservation and protection of good healthThe provision of facilities for recreation and otheroverseas aids famine relief heritage","FOR THE BENEFIT OF THE GENERAL PUBLIC AND IN PARTICULAR THOSE PERSONS FROM THE CONGOLESE COMMUNITY IN CENTRAL AFRICA WHO ARE REFUGEE OR ASYLUM SEEKERS RESIDENT IN THE UK BY;

1.  THE RELIEF OF PERSONS WHO ARE IN CONDITIONS OF POVERTY, SICKNESS AND DISTRESS BY PROVIDING SUCH PERSONS WITH ADVICE, COUNSELLING, REPRESENTATION, TRANSLATION AND INTERPRETING SERVICES AND OTHER ASSISTANCE IN MATTERS SUCH AS IMMIGRATION, MONEY, WELFARE BENEFITS, HOUSING, HEALTH EDUCATION, TRAINING AND EMPLOYMENT ADVICE IN ORDER THEY THEY MAY PARTICIPATE FULLY IN SOCIETY;

2.  THE PRESERVATION AND PROTECTION OF GOOD HEALTH;

3.  THE PROVISION OF FACILITIES FOR RECREATION AND OTHER LEISURE TIME OCCUPATION IN INTERESTS OF SOCIAL WELFARE WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE FOR THE SAID BENEFICIARIES."
"1162312","0","TAQWA NEEDY TRUST","22 Market Square (1st Floor), Kerby Street, LONDON","E14 6AB","Poplar and Limehouse","07535652219","taqwaneedytrust@hotmail.com","","31/03/2020","24655.0","23160.0","Registered","Other","Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Economic/community Development/employment, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin","Taqwa Needy Trust is a Community Organisation offers services for local residents. The services are offered to the whole age spectrum in the community from young children to elders. The services can be grouped into Training, Education and Employment; Health and Well-being; Community Engagement.","A)TO PROMOTE AND PROTECT GOOD HEALTH AMONGST PEOPLE IN EAST LONDON IN PARTICULAR BUT NOT EXCLUSIVELY BY PROMOTING NUTRITION AND PROVIDING AWARENESS ON THE IMPORTANCE OF GOOD DIET. B)TO ADVANCE EDUCATION AND TRAINING AMONGST LOCAL INHABITANTS AND ENSURE LONG-TERM EMPLOYABILITY FOR THE UNEMPLOYED & FOR THOSE WHO ARE SEEKING WORK WHICH WOULD RELIEVE FINANCIAL HARDSHIP AND ENHANCE PROSPECTS FOR EMPLOYMENT"
"1102352","0","NEWHAM REFUGEE CONSORTIUM ""BOBOTO""","12 GILBEYS YARD, LONDON","NW1 8HB","Holborn and St Pancras","07448854244","newhamrefugeeconsortium2013@yahoo.co.uk","","31/03/2020","9921.0","9881.0","Registered","Other","Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Amateur Sport, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities","To empower African Refugee Women and young people from disadvantaged community of LB of Camden Town in order to improve their confidence to become participative citizen, achieve their full potentials and raise their aspirations. We do provide information and advice on health, housing, DSS, welfare benefits, provide Education and Training support on employment to our beneficiaries.","THE RELIEF OF POVERTY AND THE ADVANCEMENT OF EDUCATION OF AFRICAN OF WOMEN REFUGEES RESIDING IN LONDON EXCLUSIVELY BY THE PROVISION OF REGARDING THEIR EDUCATIONAL, TRAINING EMPLOYMENT NEEDS AS WELL AS ADVICE ON HEALTH MATTERS, HOUSING, IMMIGRATION, INTERPRETING/TRANSLATION AND ADVOCACY WORK."
"1064316","0","LIGNUM VITAE CLUB","33 Westbury Road, WEMBLEY","HA0 4JY","Brent North","07931753882","info@lignumvitaeclub.org.uk","www.lignumvitaeclub.org.uk","31/03/2021","5923.0","6460.0","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations, Acts As An Umbrella Or Resource Body","General Charitable Purposes, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Arts/culture/heritage/science, Environment/conservation/heritage, Economic/community Development/employment, Recreation, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies","Through funding raising initiatives we support charities and individuals in the UK and in Jamaica.  We offer grants and bursaries that promote the health and well-being of disadvantage adults, children and young people.  Fund raising activities includes sponsored walks, quiz nights, cultural evenings, dinner dances, and family fund days.","THE ADVANCEMENT OF EDUCATION OF YOUNG PERSONS PARTICULARLY THOSE FROM JAMAICAN DESCENT BY MEANS OF TRAINING THEM IN SKILLS TO ENHANCE THEIR EMPLOYMENT OPPORTUNITIES. ALSO TO ASSIST SUCH PERSONS TO DEVELOP THEIR TALENT IN ARTS AND CULTURE. TO RELIEVE THE NEED OF PERSONS WHO ARE PHYSICALLY AND MENTALLY DISABLED."
